CVE	Problem
CVE-2021-0202	CWE-400
CVE-2021-0203	NVD-CWE-noinfo
CVE-2021-0204	CWE-200
CVE-2021-0205	NVD-CWE-Other
CVE-2021-0206	CWE-476
CVE-2021-0207	CWE-436
CVE-2021-0208	CWE-20
CVE-2021-0209	CWE-824
CVE-2021-0210	CWE-200
CVE-2021-0211	CWE-754
CVE-2021-0212	CWE-200
CVE-2021-0215	CWE-772
CVE-2021-0217	CWE-119
CVE-2021-0218	CWE-78
CVE-2021-0219	CWE-78
CVE-2021-0220	CWE-522
CVE-2021-0221	CWE-835
CVE-2021-0222	NVD-CWE-noinfo
CVE-2021-0223	CWE-269
CVE-2021-0301	CWE-787
CVE-2021-0303	CWE-362
CVE-2021-0303	CWE-416
CVE-2021-0304	CWE-269
CVE-2021-0306	CWE-269
CVE-2021-0307	NVD-CWE-Other
CVE-2021-0308	CWE-787
CVE-2021-0309	NVD-CWE-Other
CVE-2021-0310	CWE-416
CVE-2021-0311	CWE-787
CVE-2021-0312	CWE-787
CVE-2021-0312	CWE-190
CVE-2021-0313	CWE-20
CVE-2021-0315	CWE-1021
CVE-2021-0316	CWE-787
CVE-2021-0317	CWE-269
CVE-2021-0318	CWE-787
CVE-2021-0318	CWE-416
CVE-2021-0319	CWE-863
CVE-2021-0320	CWE-362
CVE-2021-0321	CWE-200
CVE-2021-0322	CWE-20
CVE-2021-0342	CWE-416
CVE-2021-1051	CWE-269
CVE-2021-1052	CWE-269
CVE-2021-1053	CWE-20
CVE-2021-1054	CWE-863
CVE-2021-1055	CWE-863
CVE-2021-1056	CWE-276
CVE-2021-1057	CWE-770
CVE-2021-1058	CWE-20
CVE-2021-1059	CWE-190
CVE-2021-1060	CWE-20
CVE-2021-1061	CWE-362
CVE-2021-1062	CWE-20
CVE-2021-1063	CWE-125
CVE-2021-1064	CWE-476
CVE-2021-1065	CWE-20
CVE-2021-1066	CWE-400
CVE-2021-1067	NVD-CWE-noinfo
CVE-2021-1068	CWE-125
CVE-2021-1069	CWE-476
CVE-2021-1126	CWE-522
CVE-2021-1127	CWE-79
CVE-2021-1129	CWE-201
CVE-2021-1130	CWE-79
CVE-2021-1131	CWE-119
CVE-2021-1133	CWE-184
CVE-2021-1135	CWE-184
CVE-2021-1138	CWE-20
CVE-2021-1139	CWE-20
CVE-2021-1140	CWE-20
CVE-2021-1141	CWE-20
CVE-2021-1142	CWE-77
CVE-2021-1143	CWE-863
CVE-2021-1144	CWE-863
CVE-2021-1145	CWE-59
CVE-2021-1146	CWE-77
CVE-2021-1147	CWE-77
CVE-2021-1148	CWE-77
CVE-2021-1149	CWE-77
CVE-2021-1150	CWE-77
CVE-2021-1151	CWE-79
CVE-2021-1152	CWE-79
CVE-2021-1153	CWE-79
CVE-2021-1154	CWE-79
CVE-2021-1155	CWE-79
CVE-2021-1156	CWE-79
CVE-2021-1157	CWE-79
CVE-2021-1158	CWE-79
CVE-2021-1159	CWE-787
CVE-2021-1160	CWE-787
CVE-2021-1161	CWE-787
CVE-2021-1162	CWE-787
CVE-2021-1163	CWE-787
CVE-2021-1164	CWE-787
CVE-2021-1165	CWE-787
CVE-2021-1166	CWE-787
CVE-2021-1167	CWE-787
CVE-2021-1168	CWE-787
CVE-2021-1169	CWE-787
CVE-2021-1170	CWE-787
CVE-2021-1171	CWE-787
CVE-2021-1172	CWE-787
CVE-2021-1173	CWE-787
CVE-2021-1174	CWE-787
CVE-2021-1175	CWE-787
CVE-2021-1176	CWE-787
CVE-2021-1177	CWE-787
CVE-2021-1178	CWE-787
CVE-2021-1179	CWE-787
CVE-2021-1180	CWE-787
CVE-2021-1181	CWE-787
CVE-2021-1182	CWE-787
