,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
0,6394c5b660280cf32b6660b6f321d9f045597927,2011-03-27 10:18:31+02:00,".gitignore,README.md,changelog.md,index.js,package.json",SQL_INJECTION,,,,
1,3654655138d6ab6c644649dbb3a578740a5830cd,2013-07-16 09:19:36+02:00,".gitignore,.gitmodules,.jshintrc,.travis.yml,.watchr.js,LICENSE,README.md,changelog.md,index.js,package.json",SQL_INJECTION,,,,
2,ac097a2fef35bb08dd03479e11170b90e1ba6679,2013-12-21 09:51:45+01:00,".gitignore,.jshintrc,.travis.yml,CONTRIBUTING.md,LICENSE,README.md,bower.json,component.json,manifest.json,package.json",SQL_INJECTION,,,,
3,59b1f9e003b9858796bbbe7f5f476b3cba527c26,2013-12-21 20:41:31+01:00,".gitignore,.jshintrc,.travis.yml,CONTRIBUTING.md,LICENSE,README.md,bower.json,component.json,manifest.json,package.json",SQL_INJECTION,,,,
4,5f2ef9ca46991057f3ea541361d08b68ca72f358,2014-03-26 22:49:30+01:00,".gitignore,.jshintrc,.travis.yml,CONTRIBUTING.md,LICENSE,README.md,bower.json,component.json,manifest.json,package.json",SQL_INJECTION,,,,
5,7c69b64d1d65b4078fa97d74704e8310d905c08c,2014-03-27 18:43:39+01:00,".gitignore,.jshintrc,.travis.yml,CONTRIBUTING.md,LICENSE,README.md,bower.json,component.json,manifest.json,package.json",SQL_INJECTION,,,,
6,e5ebc304159af329beff57b23c72bf68beb25dd4,2015-03-20 16:08:04+01:00,".gitignore,.npmignore,.travis.yml,Changes.md,License,Readme.md,appveyor.yml,index.js,package.json",SQL_INJECTION,,,,
7,f0fecb173f9117c7b5cffaf04f7d797fb4421303,2015-08-19 04:15:37+02:00,".gitattributes,LICENSE,README.md,blns.json,blns.txt,package.json",SQL_INJECTION,,,,
8,30ea4630514b766b2a1070e6a20df2aeb583cbea,2015-08-19 05:36:40+02:00,".gitattributes,LICENSE,README.md,blns.json,blns.txt,package.json",SQL_INJECTION,,,,
9,762cda75a91278133fd9397e19080e13a7d6cc07,2016-07-18 13:07:28+02:00,".editorconfig,.gitignore,.jshintignore,.jshintrc,.npmignore,.travis.yml,CONTRIBUTING.md,LICENSE,README.md,appveyor.yml,binding.gyp,binding.js,circle.yml,index.js,mkdocs.yml,package.json,preinstall.sh",CVE-2016-4448,CWE-134,2016-06-09T16:59Z,HIGH,5.9
10,18ac91040d9c57351d26ba998f460e214255b704,2016-07-19 11:11:25+02:00,".dockerignore,.editorconfig,.gitignore,.gitmodules,.jshintrc,.npmignore,.travis.yml,CONTRIBUTING.DOCS.md,CONTRIBUTING.md,Dockerfile,LICENSE,README.md,changelog.md,docker-compose.yml,index.js,mkdocs.yml,package.json,sscce_template.js",SQL_INJECTION,,,,
11,562d52585902090f4e53eb21c61314098c29d795,2016-07-19 13:50:26+02:00,".dockerignore,.editorconfig,.gitignore,.gitmodules,.jshintrc,.npmignore,.travis.yml,CONTRIBUTING.DOCS.md,CONTRIBUTING.md,Dockerfile,LICENSE,README.md,changelog.md,docker-compose.yml,index.js,mkdocs.yml,package.json,sscce_template.js",SQL_INJECTION,,,,
12,ea6ee1a2251f8a5655d749eb6b97680538cad4c2,2016-07-28 11:11:32+02:00,".dockerignore,.editorconfig,.gitignore,.gitmodules,.jshintrc,.npmignore,.travis.yml,CONTRIBUTING.DOCS.md,CONTRIBUTING.md,Dockerfile,LICENSE,README.md,changelog.md,docker-compose.yml,index.js,mkdocs.yml,package.json,sscce_template.js",SQL_INJECTION,,,,
13,6af2a433909a25be951a362f8e56ce58dcbbe180,2016-12-28 23:21:23+01:00,"LICENSE.md,README.md,code-of-conduct.md,composer.json,composer.lock,package.json,phpunit.xml.dist,.codeclimate.yml,.editorconfig,.eslintignore,.eslintrc,.gitattributes,.gitignore,.scrutinizer.yml,.travis.yml",CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
14,96ee5c373e529eb3313bf8174ab095ab12588f21,2016-12-28 23:50:10+01:00,".editorconfig,.scrutinizer.yml,.travis.yml,LICENSE.md,README.md,code-of-conduct.md,composer.json,composer.lock,.gitignore,.gitattributes,.eslintrc,.eslintignore,.codeclimate.yml,package.json,phpunit.xml.dist",CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
15,5ef84930f4dd8dea9c1b9d3ee3f99ca02a0963cf,2017-01-28 00:00:37+01:00,"mkdocs.yml,sscce_template.js,.doclets.yml,.editorconfig,.eslintrc.json,.gitignore,.jshintrc,.mention-bot,.npmignore,.travis.yml,CONTACT.md,CONTRIBUTING.DOCS.md,CONTRIBUTING.md,LICENSE,README.md,appveyor-setup.ps1,appveyor.yml,changelog.md,codecov.yml,docker-compose.yml,index.js,package.json",SQL_INJECTION,,,,
