,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
0,4df1b6d478020ac51c84467f47e42083f53adbad,2008-08-19 22:57:46+02:00,".hgtags,LICENSE,Makefile.pre.in,README,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
1,7e2aae43f019966cdf8b276445d89dd936d7fc07,2008-08-19 22:57:46+02:00,"LICENSE,Makefile.pre.in,README,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
2,5512f4f627ba39f7985cc9b388db0d3ac56eeac2,2008-08-19 23:02:04+02:00,".bzrignore,.hgignore,LICENSE,Makefile.pre.in,README,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
3,93ebfb154456daa841aa223bd296422787b3074c,2008-08-19 23:02:04+02:00,".bzrignore,.hgignore,.hgtags,LICENSE,Makefile.pre.in,README,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
4,a5e37e6cc3137ad1faf26495849554399d534f75,2008-08-20 03:51:10+02:00,".bzrignore,.hgignore,.hgtags,INTBENCH,LICENSE,Makefile.pre.in,README,RELNOTES,configure,configure.in,install-sh,pyconfig.h.in,runtests.sh,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
5,112d782e6348d42d3ae75feaa5ec7b9a126f1e90,2008-08-20 03:51:10+02:00,".bzrignore,.hgignore,INTBENCH,LICENSE,Makefile.pre.in,README,RELNOTES,configure,configure.in,install-sh,pyconfig.h.in,runtests.sh,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
6,98c9c1e8b96f436263bee100feffe6d9f0f66b1e,2008-11-12 07:54:33+01:00,"LICENSE,Makefile.pre.in,README,aclocal.m4,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
7,98c9c1e8b96f436263bee100feffe6d9f0f66b1e,2008-11-12 07:54:33+01:00,"LICENSE,Makefile.pre.in,README,aclocal.m4,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2008-1679,CWE-189,2008-04-22T04:41Z,MEDIUM,
8,8ad5f451e2638409d2055af68e0e06de68ac1a3c,2008-11-12 07:54:33+01:00,".hgtags,LICENSE,Makefile.pre.in,README,aclocal.m4,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2007-4965,CWE-189,2007-09-18T22:17Z,MEDIUM,
9,8ad5f451e2638409d2055af68e0e06de68ac1a3c,2008-11-12 07:54:33+01:00,".hgtags,LICENSE,Makefile.pre.in,README,aclocal.m4,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2008-1679,CWE-189,2008-04-22T04:41Z,MEDIUM,
10,01feb5ad8d55c4cdc540e02ebebcaffa5f1a4d6c,2008-11-12 08:02:24+01:00,".hgtags,LICENSE,Makefile.pre.in,README,aclocal.m4,configure,configure.in,install-sh,pyconfig.h.in,setup.py",CVE-2008-1721,CWE-189,2008-04-10T19:05Z,HIGH,
